iter	Accuracy	MultiClass
77	0.8079866585	0.4897606771
78	0.8080650306	0.4891387748
79	0.8081452252	0.4885835517
80	0.8081816773	0.4879330288
81	0.8083165502	0.4875713206
82	0.8082290651	0.4868662388
83	0.8083438893	0.4862985186
84	0.8084331969	0.485693086
85	0.80840039	0.4851381875
86	0.8084896977	0.4845605046
87	0.8084751169	0.4840517067
88	0.8085443759	0.4835343098
89	0.8085972315	0.4830434025
90	0.808631861	0.482491569
91	0.8087867825	0.4821038491
92	0.8086427966	0.4815908763
93	0.8086974748	0.4810052265
94	0.8088505737	0.4807112508
95	0.8087940729	0.4804400795
96	0.8089362361	0.4798956565
97	0.808941704	0.479601633
98	0.8089890917	0.4793193898
99	0.8090601733	0.4788138356
100	0.8090820446	0.4784574846
101	0.8091476584	0.4781331075
102	0.8091768201	0.4776688797
103	0.80921874	0.4771782205
104	0.809149481	0.4767664416
105	0.8092442565	0.4764536732
106	0.8093718389	0.4760335877
107	0.809597842	0.47561217
108	0.8095723256	0.4752620919
109	0.8097108436	0.4749304471
110	0.8097509409	0.4747814404
111	0.8097545861	0.4744305242
112	0.8098931042	0.474087141
113	0.8099313789	0.4735700795
114	0.8099040398	0.473303031
115	0.8099751214	0.4729744715
116	0.8100498483	0.472778254
117	0.8100407352	0.4723839583
118	0.8101628498	0.4720471267
119	0.8101774307	0.4718975229
120	0.8102940774	0.471559336
121	0.8103177713	0.4713157601
122	0.8104234825	0.4709505256
123	0.8105073223	0.4707467845
124	0.8105073223	0.4704691546
125	0.8107242124	0.4699940696
126	0.8107825358	0.4697394407
127	0.8109702642	0.4694520218
128	0.8109319895	0.4692715589
129	0.8109957807	0.4690913869
130	0.8112545907	0.4686857933
131	0.8112837524	0.4685226533
132	0.8112873976	0.4682673897
133	0.8113438984	0.4678909195
134	0.8113985765	0.4676994361
135	0.811345721	0.4675253631
136	0.8113694149	0.4673219971
137	0.8114259156	0.4669931634
138	0.8114969973	0.4667949514
139	0.8113967539	0.4665905815
140	0.811484239	0.4664211199
141	0.8114186252	0.4662645506
142	0.8115935954	0.4660647269
143	0.8116008858	0.4660305928
144	0.8115753693	0.4658172782
145	0.8116683222	0.4657185097
146	0.8115644337	0.4655755631
147	0.811613644	0.4654662698
148	0.8115462076	0.4651972348
149	0.8115425624	0.4649063433
150	0.8117448716	0.4646792778
151	0.8117776785	0.4645939354
152	0.8118833897	0.4642837454
153	0.8121002798	0.4639478334
154	0.8120984572	0.4637958666
155	0.812173184	0.4636860992
156	0.8122023457	0.4634258566
157	0.8122096361	0.4632351087
158	0.8121877648	0.4630878545
159	0.8123445089	0.4628172083
160	0.8124083001	0.462655903
161	0.8123663802	0.4625657328
162	0.8124392844	0.4624323228
163	0.8125468182	0.4622194548
164	0.8125778025	0.4620508728
165	0.812621545	0.4618409491
166	0.812681691	0.4617678541
167	0.8126415937	0.4616637693
168	0.8126744006	0.4616445731
169	0.812690804	0.4615413531
170	0.8127017397	0.4613711805
171	0.8126616424	0.4612183616
172	0.8126871588	0.460993697
173	0.81275095	0.4609236583
174	0.8128220317	0.4607474238
175	0.8128548386	0.4605780088
176	0.8128475481	0.4604367963
177	0.812931388	0.4602255696
178	0.8129805984	0.4600803829
179	0.8130334539	0.459891962
180	0.8131282294	0.4596905728
181	0.81331049	0.4595656993
182	0.8133068448	0.4594860965
183	0.8132758605	0.4592632977
184	0.8132758605	0.4591835861
185	0.8134471854	0.4590591881
186	0.8134708793	0.4588838738
187	0.8134982184	0.4587745328
188	0.813500041	0.4586425139
189	0.8135565418	0.4585648477
190	0.8135984617	0.4583992562
191	0.8135255575	0.4583142238
192	0.8138044162	0.4580571033
193	0.8137916579	0.4579640266
194	0.8138153518	0.4578612474
195	0.8139575151	0.4576769811
196	0.8140304193	0.4575103525
197	0.8139812089	0.4574222128
198	0.8140559358	0.4572388013
199	0.81412884	0.4571252371
200	0.8141179044	0.4569840418
201	0.8141926312	0.4568498295
202	0.8141580017	0.456743042
203	0.8142126799	0.4566717779
204	0.8142837615	0.4565674422
205	0.8142928745	0.4565184583
206	0.8143511979	0.4563823806
207	0.8143493753	0.4562135728
208	0.8144660221	0.456126553
209	0.8145498619	0.455916656
210	0.814568088	0.4557337065
211	0.8146100079	0.4554733291
212	0.8147175417	0.4553199506
213	0.8148232528	0.4550447001
214	0.814887044	0.4548809299
215	0.8149234961	0.4546158962
216	0.8149362544	0.4545055775
217	0.8150820628	0.4542993532
218	0.815076595	0.4541399831
219	0.8151148697	0.4539276055
220	0.8151640801	0.4536838938
221	0.8153208242	0.4535402707
222	0.8153299372	0.4534557521
223	0.815455697	0.4532312957
224	0.8154629874	0.4530553218
225	0.815524956	0.4529442297
226	0.8155650534	0.4528767481
227	0.8155923924	0.4526716729
228	0.8156707645	0.4525327251
229	0.8156215541	0.4524056593
230	0.8158092825	0.4521311449
231	0.8159022354	0.4518745928
232	0.8159824301	0.4516843498
233	0.8160225274	0.4515714213
234	0.8160553343	0.4515226538
235	0.8160443987	0.4513562172
236	0.8162321271	0.4511666396
237	0.8161428194	0.4510154241
238	0.816223014	0.4508964292
239	0.8162157236	0.4508005236
240	0.8163797581	0.4505547508
241	0.8164654206	0.4503943916
242	0.8164508398	0.4502770114
243	0.8164836467	0.4501775739
244	0.8166294551	0.4500795969
245	0.8166495038	0.4499726733
246	0.8166659072	0.4498612055
247	0.8166659072	0.4497352506
248	0.8167752636	0.4495294116
249	0.816782554	0.4493155305
250	0.8167861992	0.4491305449
251	0.8169265399	0.4489888371
252	0.816981218	0.4488517218
253	0.8171798821	0.4486766887
254	0.8172199794	0.4485018449
255	0.8172746576	0.4483242923
256	0.8174131756	0.4481132702
257	0.8174860798	0.4478882317
258	0.8175772101	0.447768556
259	0.8177139056	0.4476260224
260	0.8178032133	0.4475140621
261	0.817850601	0.447422365
262	0.8179745382	0.4471747748
263	0.817970893	0.4470146599
264	0.8179453765	0.446941089
265	0.8179690704	0.4467812562
266	0.8181221693	0.446578413
267	0.8182333482	0.4464080365
268	0.8182752682	0.4462964029
269	0.8183463498	0.4461368456
270	0.818608805	0.4459218236
271	0.8186343215	0.4457611749
272	0.8185960468	0.4456712551
273	0.8186908223	0.4455546741
274	0.8188949541	0.4453463183
275	0.8188913089	0.4451789374
276	0.8189933748	0.4450317828
277	0.8190316495	0.4448972333
278	0.8190116009	0.4448007885
279	0.8190699243	0.4446792247
280	0.8191665224	0.4444173261
281	0.8191628772	0.4442900002
282	0.8190808599	0.4442403438
283	0.8191519415	0.4440864853
284	0.8192995726	0.4439528866
285	0.8193688316	0.4438523453
286	0.8192740561	0.4435900129
287	0.8193342021	0.4434065742
288	0.8194526715	0.4432371277
289	0.8194417358	0.4430070375
290	0.8195109949	0.4428893185
291	0.8195693183	0.4427227374
292	0.8197041911	0.4426121844
293	0.8198591126	0.4424283489
294	0.8198864517	0.4423096884
295	0.8199065003	0.4422265472
296	0.8199630011	0.4420576907
297	0.8200869383	0.4419224688
298	0.8201434391	0.4417896463
299	0.8201543747	0.4416219691
300	0.8201634877	0.4415111091
301	0.8202783119	0.4413378245
302	0.8203074736	0.4412607261
303	0.8204569273	0.4411436093
304	0.8204824437	0.4410055148
305	0.8205079602	0.4408749036
306	0.820615494	0.4407559251
307	0.8206555913	0.4406633507
308	0.8207066243	0.4405687108
309	0.8207977545	0.4403945508
310	0.8207886415	0.4402205761
311	0.8207740607	0.4401468731
312	0.8207922867	0.4400276308
313	0.8210073542	0.4398390251
314	0.821072968	0.4397132215
315	0.8211294688	0.4396318132
316	0.8213099068	0.4393919489
317	0.8213372459	0.4393091464
318	0.8213755206	0.4392372511
319	0.8213390685	0.439157456
320	0.821382811	0.4390174106
321	0.8213846336	0.4389089991
322	0.8214721187	0.4388114926
323	0.8215395551	0.4387004909
324	0.8216507341	0.4385574217
325	0.8216944766	0.4383665958
326	0.8217491548	0.4382597644
327	0.821812946	0.438114342
328	0.8218803824	0.4380133978
329	0.8219131893	0.4379173057
330	0.8218986084	0.4377802414
331	0.8220043196	0.4376154869
332	0.8220280135	0.4374592865
333	0.8220225456	0.437358777
334	0.8221082081	0.4371862817
335	0.8221847575	0.4370355616
336	0.8221719993	0.4369354177
337	0.8222339679	0.4367468497
338	0.8222558392	0.4366369599
339	0.822252194	0.4364109773
340	0.8223524373	0.4363073914
341	0.8223159852	0.4362439769
342	0.8224107607	0.4360592653
343	0.8225966665	0.4359490129
344	0.8226367638	0.4358244873
345	0.8225766178	0.4357353493
346	0.8225492787	0.4356641673
347	0.8226768611	0.4355227763
348	0.8227734592	0.4354589667
349	0.8228937512	0.4352812608
350	0.8229921719	0.4351808042
351	0.8230359144	0.4350314843
352	0.8230322692	0.4349389148
353	0.8230960604	0.4347707637
354	0.8231762551	0.4347122511
355	0.8231890133	0.4344736262
356	0.823199949	0.4343163808
357	0.8232673854	0.4342155056
358	0.8232910793	0.4340666657
359	0.8233056601	0.4339601597
360	0.8233566931	0.4338593896
361	0.8234642268	0.4337365201
362	0.8235207276	0.4336583002
363	0.8235662927	0.433538641
364	0.8235845188	0.4333366541
365	0.8236464874	0.4331860855
366	0.823708456	0.4330202974
367	0.8237285046	0.4329102872
368	0.8239599756	0.4327332331
369	0.8241130745	0.4325673815
370	0.8242224308	0.4324981561
371	0.8242388343	0.4324226394
372	0.8242206082	0.4323522552
373	0.8242497699	0.4322035549
374	0.8243317872	0.4321021321
375	0.8244447887	0.4320290653
376	0.8245122251	0.4319290289
377	0.8246507432	0.4317843946
378	0.8247418735	0.4316020135
379	0.8247728578	0.4314549892
380	0.8247655673	0.4313812537
381	0.8247473413	0.4312948539
382	0.8246890179	0.4312048828
383	0.8246963083	0.4310913825
384	0.824716357	0.4310135091
385	0.8248402942	0.4309129724
386	0.8248785689	0.4307940646
387	0.8249514731	0.4307044926
388	0.8249933931	0.4306388746
389	0.8250389582	0.4305079178
390	0.8250426034	0.4304347389
391	0.8250644747	0.4303412471
392	0.8250790555	0.4302430646
393	0.8251392015	0.4300731156
394	0.8251574276	0.4299503883
395	0.8252357996	0.4298391572
396	0.8253688498	0.4297179684
397	0.8253670272	0.4296250957
398	0.8253961889	0.4295472418
399	0.8253980115	0.4294279272
400	0.8254964322	0.4293084824
401	0.8255638687	0.429229116
402	0.8256531763	0.4291069001
403	0.8257443066	0.4289649127
404	0.8257570649	0.4288181478
405	0.8257734683	0.4287402385
406	0.8258664212	0.4285866087
407	0.8259101638	0.4284961365
408	0.8259520837	0.4283709441
409	0.825913809	0.4282529387
410	0.8259976488	0.4281382185
411	0.8260960696	0.4279802617
412	0.8261325217	0.4278933108
413	0.826163506	0.4278300258
414	0.8262054259	0.4277412719
415	0.8261835546	0.4276789973
416	0.8262473458	0.4275989765
417	0.8263895091	0.4274128268
418	0.8264751716	0.4273069429
419	0.8264861072	0.427241954
420	0.8265462532	0.4270816112
421	0.8266556095	0.4269537314
422	0.8266610773	0.4268702659
423	0.8267576754	0.4267685194
424	0.8268469831	0.426644177
425	0.8268816126	0.426488561
426	0.8268269345	0.4263465306
427	0.8269053065	0.4262370609
428	0.8269891464	0.4261268014
429	0.8270365341	0.4260218664
430	0.8271386001	0.4258932873
431	0.8271914556	0.4258262815
432	0.827258892	0.4257082112
433	0.8272643599	0.4256076926
434	0.8274721369	0.4254541966
435	0.8274466204	0.4253651158
436	0.8275049438	0.4252354883
437	0.827499476	0.4251431514
438	0.8276416393	0.4249916944
439	0.8276452845	0.4248871916
440	0.8276671557	0.4246823678
441	0.8277090757	0.424601568
442	0.8278494163	0.4244182076
443	0.827749173	0.4242084835
444	0.8278020286	0.4240613029
445	0.8278311903	0.4239657587
446	0.8279040945	0.4238277534
447	0.8279022719	0.4237475997
448	0.8278949815	0.4236007206
449	0.8279241431	0.4234945256
450	0.8279751761	0.4234171371
451	0.827938724	0.4232756032
452	0.8279824665	0.4231831847
453	0.8280407899	0.4230983383
454	0.8281519689	0.4229860971
455	0.8282121149	0.4228499487
456	0.8283141808	0.422721035
457	0.8284016659	0.4226650773
458	0.8283816172	0.422580455
459	0.8283943754	0.4224970521
460	0.8284855057	0.4223552175
461	0.8285748134	0.4221844673
462	0.828636782	0.422074025
463	0.8286477176	0.4219383482
464	0.8286695889	0.42185135
465	0.828627669	0.4217692547
466	0.8286477176	0.4216528046
467	0.8286823472	0.4215983661
468	0.8288135748	0.4214856031
469	0.8288318008	0.4213626341
470	0.8288336234	0.4213023923
471	0.8288482043	0.4212712654
472	0.8288992372	0.4211484261
473	0.8289320441	0.4210276956
474	0.829006771	0.4209414617
475	0.8290231744	0.4208693237
476	0.8291215951	0.4207387949
477	0.8292036124	0.4206567701
478	0.8293002105	0.4204849602
479	0.8292437097	0.4204181619
480	0.8293038557	0.420343231
481	0.8293913408	0.4202445622
482	0.8294332607	0.4201044314
483	0.8294205025	0.4199784505
484	0.8294569546	0.4198541805
485	0.8294788259	0.4197334618
486	0.829774088	0.4195736481
487	0.8297904915	0.4194337966
488	0.8298087175	0.4193415193
489	0.8298068949	0.4192304782
490	0.8298743313	0.4191135355
491	0.8299618164	0.4190395515
492	0.8300493015	0.418953668
493	0.8300821084	0.4188735793
494	0.8300438337	0.4187507928
495	0.8300875762	0.4186592473
496	0.830134964	0.4185971902
497	0.8301149153	0.418507634
498	0.8302552559	0.4183998075
499	0.8302370299	0.4183446421
500	0.830342741	0.4182048134
501	0.8304958399	0.4180605798
502	0.8305486955	0.4179183907
503	0.8306380032	0.4178486133
504	0.8306708101	0.4177654264
505	0.8307400691	0.4176792203
506	0.830833022	0.4175922237
507	0.8308166185	0.4175128278
508	0.830772876	0.4173982243
509	0.8307947473	0.4173034439
510	0.8309077488	0.4172331298
511	0.8309587818	0.4171110638
512	0.8309788304	0.4169287983
513	0.8309241523	0.4168515002
514	0.8309423783	0.4167727262
515	0.8310699607	0.416692351
516	0.831161091	0.416558552
517	0.8311118807	0.4163857024
518	0.8310845416	0.4162741285
519	0.8311756719	0.4161862151
520	0.8312139466	0.4159922475
521	0.8312777378	0.4159116154
522	0.8313287707	0.4158100964
523	0.8314271915	0.4157435674
524	0.8314144332	0.4156735485
525	0.8314144332	0.4156220257
526	0.8314435949	0.4155700141
527	0.8315602417	0.4154119298
528	0.8316623076	0.4152729716
529	0.8317589057	0.4151854347
530	0.8317516153	0.4151006287
531	0.8316969371	0.4150333925
532	0.831910182	0.414887005
533	0.8318719073	0.4147703984
534	0.831970328	0.4146651908
535	0.8319849088	0.4145990836
536	0.8319994897	0.4145119579
537	0.831988554	0.4144612491
538	0.8320632809	0.4143788232
539	0.8321106686	0.4142971821
540	0.8321835729	0.4141637237
541	0.832220025	0.4140912502
542	0.8322911066	0.4139822554
543	0.8322856388	0.4138511563
544	0.8321853955	0.4137661068
545	0.8322017989	0.4136835239
546	0.832220025	0.4136094925
547	0.8322637675	0.4135264833
548	0.8323548978	0.4133995979
549	0.8324915932	0.4133141545
550	0.8325134645	0.4132125544
551	0.8325881913	0.4131450405
552	0.8326647408	0.4130385799
553	0.8325790783	0.4129263198
554	0.8326811442	0.4128507192
555	0.8327248868	0.412749918
556	0.8327412902	0.4126533243
557	0.8328105492	0.4125108579
558	0.83290897	0.4124469668
559	0.8329636481	0.4123364387
560	0.8328980343	0.4122009364
561	0.8329618255	0.4121056019
562	0.8330675367	0.4120260457
563	0.8330966983	0.4119198865
564	0.8331732478	0.4118047749
565	0.8332188129	0.4116785485
566	0.8332261034	0.4116200633
567	0.8332516198	0.4114786142
568	0.833366444	0.4113932707
569	0.8334739777	0.4112784923
570	0.8335177203	0.411164884
571	0.8335158977	0.4110990043
572	0.8335323011	0.41099921
573	0.8336088506	0.4109201234
574	0.8336015602	0.410877307
575	0.8335341237	0.4107698569
576	0.8335614628	0.410677268
577	0.8336325444	0.4105977677
578	0.833736433	0.4104846819
579	0.8338038694	0.4103415955
580	0.8339041127	0.4102742756
581	0.8339824848	0.4101791211
582	0.8340954863	0.4100824166
583	0.8341629227	0.4099984369
584	0.8341228254	0.4099146777
585	0.834175681	0.4098550816
586	0.834184794	0.4097514077
587	0.8343706998	0.4096549408
588	0.8343816354	0.4095934553
589	0.834425378	0.4095090571
590	0.834494637	0.4094260798
591	0.8344709431	0.4093586405
592	0.8345183309	0.4093067446
593	0.8345383795	0.4092051571
594	0.8345165083	0.409066472
595	0.8346167516	0.4090185043
596	0.8345930577	0.4089384408
597	0.8346586715	0.4087865911
598	0.8347242853	0.4086662951
599	0.8347607374	0.4085469092
600	0.8347552696	0.4084202402
601	0.8347552696	0.4083500091
602	0.8347461566	0.408301812
603	0.8347662052	0.4082392814
604	0.8347953669	0.4081365916
605	0.8348336417	0.4080749192
606	0.8349284172	0.4079564401
607	0.8349174815	0.4078857052
608	0.8348974329	0.4078226957
609	0.8350833386	0.4077436422
610	0.835141662	0.4076693031
611	0.835132549	0.4075761087
612	0.8351872272	0.4074762631
613	0.8352236793	0.4073983277
614	0.8353767782	0.4073084099
615	0.8353239226	0.407159208
616	0.8354259885	0.4070537636
617	0.8354405694	0.4069545788
618	0.8354022947	0.406877717
619	0.8354861345	0.4067855592
620	0.8355699744	0.4066709115
621	0.8356374108	0.4066033717
622	0.8355918457	0.4065378828
623	0.8355389901	0.4064391839
624	0.8355481031	0.4063709258
625	0.835631943	0.4062245567
626	0.8357467672	0.4061156017
627	0.8357558802	0.4060822372
628	0.8357996227	0.4059959126
629	0.8358160262	0.4058971103
630	0.8358160262	0.4057620356
631	0.8359053339	0.4056572313
632	0.8358871078	0.4055754453
633	0.8359180921	0.4054640026
634	0.8359727703	0.4053851808
635	0.8362042412	0.4052878658
636	0.8361586761	0.4051579501
637	0.8361659665	0.4050784575
638	0.8360839492	0.4049970339
639	0.8360073998	0.4048683059
640	0.8361131109	0.4047671028
641	0.836209709	0.4046646434
642	0.8362826133	0.4045481182
643	0.8362680324	0.4044419635
644	0.8363700983	0.4043353021
645	0.8362716776	0.4042282527
646	0.8363628079	0.4041662515
647	0.8363536949	0.4040332997
648	0.8363536949	0.4039836592
649	0.8364466478	0.4039148228
650	0.83644118	0.4038409541
651	0.8364721643	0.403724066
652	0.8364940355	0.403670485
653	0.8365906336	0.4036053166
654	0.836648957	0.4035514101
655	0.8367728942	0.4034055709
656	0.8367892977	0.4033631844
657	0.8368166367	0.4032997202
658	0.8368622019	0.4032591313
659	0.8369387513	0.4031576642
660	0.8369533322	0.4030694302
661	0.8370426399	0.4029854659
662	0.8370061877	0.4029229276
663	0.8371027859	0.4028381399
664	0.8371283023	0.4027274104
665	0.8371465284	0.4026292632
666	0.8372504169	0.4025355179
667	0.8372449491	0.4024399662
668	0.8372941595	0.4023502076
669	0.8373105629	0.4022989902
670	0.8373142081	0.4022190409
671	0.837347015	0.4021498162
672	0.8374253871	0.4020635168
673	0.8375912442	0.4019853254
674	0.8376094703	0.4018622029
675	0.8374818879	0.4017278228
676	0.8375584373	0.4016524686
677	0.8375894216	0.4015408971
678	0.8377151814	0.4014518669
679	0.8377315848	0.4014025995
680	0.8377716822	0.401337758
681	0.8377917308	0.4013134998
682	0.837837296	0.4012123303
683	0.8378427638	0.4011449292
684	0.8379302489	0.4010242093
685	0.8379357167	0.4009631163
686	0.837915668	0.4008760883
687	0.8380632991	0.4007518267
688	0.8380815252	0.4006567778
689	0.8380815252	0.4005397467
690	0.8381489616	0.4004613757
691	0.8381088642	0.4003611263
692	0.838156252	0.4002911544
693	0.8381671876	0.4002267262
694	0.8383148187	0.4000927859
695	0.8382400919	0.3999978812
696	0.8384424011	0.3999170396
697	0.8385080149	0.3998370477
698	0.8385481122	0.3997351833
699	0.8385171279	0.3996509966
700	0.8385736287	0.3995619182
701	0.8385371766	0.3994891362
702	0.8386684042	0.3993823921
703	0.8388160353	0.3993033278
704	0.8388907621	0.399219869
705	0.8389326821	0.3991352581
706	0.8388761813	0.3990563826
707	0.8388998752	0.3989931781
708	0.8389600211	0.398907735
709	0.8390055863	0.398823812
710	0.8390329254	0.3987072931
711	0.839104007	0.3986543105
712	0.839182379	0.3985862395
713	0.839173266	0.3985235235
714	0.8391368139	0.3983852919
715	0.8392279442	0.3983410284
716	0.8392170086	0.3982730058
717	0.8392315894	0.3981980087
718	0.8392771545	0.3981005085
719	0.8392716867	0.3980539842
720	0.8393500588	0.3979907445
721	0.8393336553	0.3979354098
722	0.8393609944	0.3978934291
723	0.8394758186	0.397752631
724	0.8395304968	0.3976625622
725	0.8396052236	0.3975850276
726	0.8396052236	0.3974796255
727	0.8397874842	0.3973315306
728	0.8398731466	0.3972510806
729	0.8399059535	0.3971551892
730	0.8398640336	0.3971049186
731	0.8399861482	0.3969826793
732	0.840172054	0.3968698018
733	0.8402267322	0.3968175499
734	0.8402449582	0.3966933554
735	0.8402595391	0.3966207559
736	0.8401957479	0.3965782032
737	0.8400681655	0.3965066037
738	0.8401501827	0.3964068375
739	0.8401829896	0.3963714791
740	0.8401702314	0.3962681544
741	0.840310572	0.3961791794
742	0.8403306207	0.396154975
743	0.8403123946	0.3960952341
744	0.8403634276	0.3960212515
745	0.8404035249	0.3959059472
746	0.8403670728	0.3958370593
747	0.8404618483	0.3957297327
748	0.8405238169	0.3956609393
749	0.8405821403	0.3955646541
750	0.8405292847	0.3954706448
751	0.8406750932	0.395302671
752	0.8406732706	0.3952404739
753	0.8406404637	0.3951280753
754	0.8407188357	0.3950611444
755	0.8407261261	0.3950085659
756	0.8407862721	0.3949564578
757	0.8407972078	0.3948888071
758	0.8408136112	0.3948137545
759	0.8408719346	0.3947779546
760	0.8409120319	0.3946927967
761	0.8409521293	0.3946131542
762	0.8409430162	0.3945179555
763	0.84100863	0.3944386346
764	0.8410487274	0.3943671619
765	0.8411143412	0.3942961201
766	0.8411854228	0.3942074228
767	0.8411635515	0.3941057001
768	0.8412054715	0.3940606945
769	0.841300247	0.3939463885
770	0.8413330539	0.3938955099
771	0.8412911339	0.3937875457
772	0.8414023129	0.3936784707
773	0.8414187163	0.3936074902
774	0.8414515232	0.3935306175
775	0.8414569911	0.3934645163
776	0.8415645248	0.3933701679
777	0.8416720585	0.3932388617
778	0.8417431402	0.3931522357
779	0.8418397383	0.3930595462
780	0.8419144651	0.3929917278
781	0.8419454494	0.3929533091
782	0.842016531	0.3928777701
783	0.8420365797	0.3927992848
784	0.8419891919	0.3927215841
785	0.8420548058	0.3926876982
786	0.8420912579	0.3926042386
787	0.8421240648	0.3925093813
788	0.8422151951	0.3924793993
789	0.842145936	0.3924227034
790	0.8421350004	0.3922595175
791	0.8422243081	0.3921903008
792	0.8423591809	0.3921013072
793	0.8424430208	0.3920052545
794	0.8424831181	0.3919080937
795	0.8425396189	0.3918535839
796	0.8425232154	0.391817861
797	0.8425742484	0.3917711274
798	0.8426672013	0.3916963386
799	0.8426744917	0.3916441244
