iter	Passed	Remaining
395	153719	156824
396	154193	156524
397	154659	156214
398	155147	155925
399	155628	155628
400	156153	155374
401	156590	155032
402	156955	154619
403	157313	154198
404	157698	153804
405	158316	153637
406	158775	153314
407	159231	152987
408	159565	152543
409	159949	152147
410	160378	151793
411	160829	151460
412	161250	151098
413	161675	150741
414	162079	150362
415	162500	150000
416	162965	149678
417	163483	149403
418	163982	149110
419	164397	148740
420	164850	148404
421	165296	148061
422	165644	147631
423	166112	147307
424	166590	146991
425	167073	146679
426	167638	146438
427	168139	146140
428	168523	145739
429	169027	145441
430	169414	145043
431	169859	144695
432	170278	144323
433	170809	144046
434	172223	144509
435	172989	144422
436	173692	144280
437	174644	144340
438	175681	144467
439	176394	144322
440	177268	144307
441	177911	144100
442	178911	144179
443	179554	143967
444	180243	143789
445	180756	143470
446	181386	143242
447	182137	143108
448	182721	142840
449	183315	142578
450	183947	142344
451	184460	142017
452	185119	141802
453	185615	141460
454	186150	141146
455	186810	140927
456	187405	140656
457	188107	140464
458	188788	140254
459	189346	139952
460	189910	139652
461	190549	139406
462	191232	139190
463	191949	138997
464	192591	138748
465	193379	138602
466	194011	138342
467	194624	138067
468	195121	137708
469	195709	137413
470	196613	137337
471	197477	137230
472	198110	136960
473	198689	136651
474	199358	136403
475	199894	136062
476	200514	135778
477	201404	135673
478	202163	135478
479	202765	135176
480	203554	134997
481	204274	134770
482	204776	134397
483	205737	134324
484	206375	134037
485	206980	133728
486	207587	133418
487	208181	133099
488	208862	132834
489	209264	132391
490	209736	131993
491	210229	131607
492	210630	131163
493	211174	130808
494	211776	130488
495	212326	130135
496	212871	129778
497	213612	129540
498	214245	129234
499	214924	128954
500	215568	128652
501	216252	128372
502	216849	128040
503	217451	127709
504	218093	127401
505	218743	127096
506	219354	126767
507	219968	126438
508	220539	126084
509	221238	125802
510	221848	125467
511	222379	125088
512	222886	124694
513	223636	124435
514	224328	124142
515	225040	123859
516	226319	123884
517	227571	123890
518	228362	123641
519	229294	123466
520	230406	123384
521	231244	123152
522	232110	122934
523	232706	122570
524	233248	122177
525	234140	121966
526	235255	121868
527	236079	121616
528	236994	121409
529	238322	121409
530	239000	121075
531	239777	120790
532	240574	120513
533	241439	120267
534	242189	119963
535	242835	119605
536	243639	119324
537	244297	118970
538	244948	118611
539	245632	118267
540	246068	117803
541	246586	117378
542	247052	116929
543	247563	116500
544	248223	116141
545	248787	115736
546	249435	115369
547	250067	114994
548	250880	114701
549	251454	114297
550	252126	113937
551	252769	113563
552	253532	113241
553	254313	112926
554	254916	112530
555	255484	112119
556	256125	111738
557	256780	111363
558	257404	110973
559	258064	110599
560	258773	110244
561	259310	109814
562	259999	109449
563	260687	109081
564	261387	108718
565	261909	108280
566	262503	107871
567	263079	107455
568	263681	107048
569	264308	106650
570	264839	106214
571	265457	105811
572	266032	105391
573	266612	104972
574	267226	104566
575	267867	104170
576	268513	103775
577	269152	103377
578	269675	102933
579	270230	102501
580	270730	102048
581	271542	101711
582	272489	101424
583	273454	101140
584	274414	100853
585	275110	100467
586	275805	100079
587	276541	99705
588	277448	99391
589	278110	98988
590	278810	98597
591	279730	98283
592	280437	97893
593	281179	97513
594	281834	97102
595	282390	96657
596	282906	96197
597	283357	95716
598	283918	95271
599	284499	94833
600	285034	94379
601	285552	93919
602	286082	93463
603	286952	93116
604	287782	92756
605	288521	92364
606	289027	91898
607	289520	91427
608	290212	91019
609	290793	90575
610	291273	90099
611	291775	89630
612	292279	89162
613	292816	88703
614	293551	88303
615	294391	87935
616	295025	87503
617	295455	87011
618	295970	86543
619	296480	86074
620	296957	85596
621	297300	85079
622	297633	84560
623	298009	84053
624	298380	83546
625	298741	83036
626	299082	82521
627	299530	82037
628	300020	81563
629	300413	81064
630	300813	80566
631	301189	80063
632	301558	79558
633	301971	79064
634	302409	78578
635	302809	78082
636	303242	77595
637	303654	77103
638	303999	76594
639	304353	76088
640	304753	75594
641	305108	75089
642	305498	74593
643	305861	74090
644	306231	73590
645	306601	73090
646	307034	72606
647	307460	72120
648	307811	71617
649	308235	71131
650	308641	70641
651	309034	70148
652	309420	69655
653	309837	69168
654	310248	68681
655	310580	68176
656	310948	67679
657	311327	67186
658	311731	66698
659	312213	66227
660	312628	65741
661	312997	65247
662	313396	64759
663	313842	64280
664	314220	63789
665	314717	63321
666	315081	62827
667	315426	62329
668	315792	61836
669	316172	61346
670	316576	60861
671	316982	60377
672	317357	59887
673	317756	59402
674	318123	58911
675	318531	58428
676	318865	57932
677	319271	57449
678	319675	56967
679	320078	56484
680	320487	56002
681	320918	55525
682	321312	55041
683	321714	54559
684	322127	54079
685	322598	53609
686	322981	53125
687	323363	52640
688	323762	52159
689	324163	51678
690	324601	51203
691	324958	50716
692	325378	50238
693	325741	49753
694	326168	49277
695	326600	48802
696	326918	48310
697	327333	47833
698	327679	47347
699	328082	46868
700	328423	46382
701	328849	45907
702	329267	45432
703	329668	44954
704	330006	44468
705	330417	43993
706	330716	43503
707	331060	43019
708	331478	42545
709	331914	42073
710	332346	41601
711	332772	41129
712	333230	40660
713	333695	40193
714	334102	39718
715	334439	39235
716	334865	38764
717	335243	38286
718	335623	37810
719	336028	37336
720	336419	36861
721	336820	36387
722	337274	35919
723	337774	35457
724	338179	34984
725	338665	34519
726	339082	34048
727	339535	33580
728	339843	33098
729	340251	32626
730	340651	32154
731	341067	31683
732	341393	31205
733	341800	30734
734	342204	30263
735	342629	29793
736	342998	29320
737	343344	28844
738	343748	28374
739	344219	27909
740	344574	27435
741	344953	26964
742	345402	26497
743	345804	26028
744	346235	25561
745	346638	25091
746	347022	24621
747	347425	24152
748	347835	23684
749	348195	23213
750	348566	22742
751	348869	22268
752	349276	21800
753	349701	21334
754	350172	20871
755	350621	20406
756	350981	19936
757	351372	19469
758	351722	18999
759	352173	18535
760	352569	18068
761	352957	17601
762	353256	17130
763	353680	16665
764	354102	16200
765	354659	15742
766	355084	15277
767	355549	14814
768	356016	14351
769	356439	13887
770	356856	13422
771	357276	12958
772	357719	12494
773	358110	12029
774	358515	11565
775	358902	11100
776	359304	10635
777	359688	10171
778	360083	9706
779	360439	9242
780	360825	8778
781	361181	8313
782	361552	7849
783	362082	7389
784	362475	6926
785	362927	6464
786	363320	6001
787	363715	5538
788	364160	5077
789	364576	4614
790	364930	4152
791	365302	3689
792	365701	3228
793	366097	2766
794	366497	2305
795	366882	1843
796	367300	1382
797	367773	921
798	368225	460
799	368632	0
